sa2_code,sa2_name_x,state_x,total_persons_2011,total_renters_2011,total_dwellings_2011,own_occ_2011,rented_2011,other_tenure_2011,tenure not stated_2011,tenure n_a_2011,rent_stress_2011,young_2011,older_2011,unemployed_2011,single_parent_2011,low_ed_2011,assist_2011,indig_2011,english_2011,spanish_2011,arabic_2011,hindi_2011,punjabi_2011,vietnamese_2011,japanese_2011,korean_2011,mandarin_2011,samoan_2011,tagalog_2011,all_other_lang_2011,public_community_2011,boardinghouse_2011,residential_park_2011,rvi_2011,hcv_2011,11_m_rent_common,total_persons_2016,total_renters_2016,total_dwellings_2016,own_occ_2016,rented_2016,other_tenure_2016,tenure not stated_2016,tenure n_a_2016,rent_stress_2016,young_2016,older_2016,unemployed_2016,single_parent_2016,low_ed_2016,assist_2016,indig_2016,english_2016,spanish_2016,arabic_2016,hindi_2016,punjabi_2016,vietnamese_2016,japanese_2016,korean_2016,mandarin_2016,samoan_2016,tagalog_2016,all_other_lang_2016,public_community_2016,boardinghouse_2016,residential_park_2016,rvi_2016,hcv_2016,16_m_rent_common,total_persons_2021,total_renters_2021,total_dwellings_2021,own_occ_2021,rented_2021,other_tenure_2021,tenure not stated_2021,tenure n_a_2021,rent_stress_2021,young_2021,older_2021,unemployed_2021,single_parent_2021,low_ed_2021,assist_2021,indig_2021,english_2021,spanish_2021,arabic_2021,hindi_2021,punjabi_2021,vietnamese_2021,japanese_2021,korean_2021,mandarin_2021,samoan_2021,tagalog_2021,all_other_lang_2021,public_community_2021,boardinghouse_2021,residential_park_2021,rvi_2021,hcv_2021,21_m_rent_common
101011001,Goulburn,nsw,21895.0,5829.0,9502.0,5429.0,2559.0,30.0,414.0,953.0,579.0,703.0,550.0,304.0,632.0,964.0,346.0,265.0,5467.0,3.0,14.0,17.0,3.0,7.0,0.0,11.0,18.0,0.0,3.0,286.0,619.0,16.0,112.0,0.770873786,PC_RECRENTERS,211.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101011002,Goulburn Region,nsw,11339.0,1483.0,6260.0,3559.0,618.0,37.0,233.0,1638.0,86.0,140.0,129.0,65.0,108.0,191.0,70.0,42.0,1436.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,37.0,0.0,3.0,0.47961165,PC_RECRENTERS,179.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101011003,Yass,nsw,6267.0,1295.0,2612.0,1654.0,528.0,14.0,146.0,225.0,47.0,189.0,128.0,38.0,98.0,167.0,54.0,112.0,1229.0,8.0,8.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,46.0,111.0,0.0,35.0,0.409708738,PC_RECRENTERS,264.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101011004,Yass Region,nsw,10232.0,1161.0,4390.0,2950.0,459.0,22.0,191.0,644.0,48.0,97.0,41.0,26.0,54.0,94.0,29.0,30.0,1132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,3.0,0.0,11.0,0.12038835,PC_UNEMP,235.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101011005,Young,nsw,10132.0,2502.0,4514.0,2595.0,1071.0,24.0,255.0,508.0,275.0,318.0,222.0,137.0,268.0,418.0,157.0,211.0,2380.0,6.0,27.0,3.0,0.0,3.0,0.0,0.0,5.0,0.0,6.0,72.0,149.0,0.0,16.0,0.695145631,PC_OLD,204.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101011006,Young Region,nsw,7144.0,1176.0,3815.0,2192.0,491.0,31.0,155.0,772.0,70.0,107.0,94.0,54.0,108.0,158.0,75.0,72.0,1115.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,39.0,37.0,0.0,15.0,0.545631068,PC_OLD,144.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101021007,Braidwood,nsw,3260.0,554.0,1972.0,1028.0,220.0,8.0,96.0,580.0,32.0,36.0,44.0,17.0,39.0,60.0,14.0,17.0,518.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,10.0,0.0,3.0,0.289320388,PC_UNEMP,221.88,3793.0,555.0,2297.0,1159.0,232.0,7.0,236.0,623.0,58.0,40.0,58.0,19.0,44.0,60.0,30.0,18.0,497.0,8.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,9.0,31.0,12.0,0.0,0.0,0.515260323,PC_RECRENTERS,280.75,4418.0,605.0,2778.0,1463.0,262.0,7.0,167.0,827.0,67.0,41.0,42.0,23.0,39.0,45.0,27.0,40.0,562.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,33.0,3.0,0.0,3.0,0.412140575,PC_OLD,
101021008,Karabar,nsw,8615.0,2399.0,3435.0,2052.0,929.0,10.0,216.0,192.0,146.0,242.0,109.0,79.0,269.0,332.0,119.0,324.0,2118.0,11.0,18.0,16.0,3.0,0.0,0.0,0.0,3.0,51.0,5.0,174.0,361.0,0.0,43.0,0.662135922,PC_UNEMP,313.76,8204.0,2275.0,3387.0,1989.0,873.0,4.0,206.0,283.0,164.0,228.0,144.0,97.0,236.0,293.0,147.0,322.0,1957.0,9.0,5.0,8.0,14.0,3.0,0.0,0.0,7.0,15.0,18.0,239.0,339.0,0.0,0.0,0.748653501,PC_RECRENTERS,332.13,8419.0,2262.0,3451.0,2136.0,895.0,4.0,216.0,180.0,255.0,176.0,236.0,89.0,229.0,265.0,154.0,377.0,1845.0,3.0,16.0,5.0,63.0,3.0,0.0,0.0,13.0,18.0,9.0,287.0,329.0,0.0,23.0,0.787539936,PC_OLD,362.0
101021009,Queanbeyan,nsw,10449.0,3459.0,5184.0,2513.0,1709.0,36.0,361.0,496.0,266.0,496.0,203.0,110.0,202.0,344.0,133.0,154.0,2650.0,15.0,19.0,33.0,72.0,14.0,9.0,14.0,36.0,12.0,34.0,551.0,202.0,0.0,32.0,0.229126214,PC_UNEMP,299.04,10924.0,4077.0,5652.0,2356.0,2076.0,21.0,514.0,615.0,419.0,513.0,203.0,180.0,248.0,318.0,136.0,175.0,2866.0,18.0,45.0,61.0,170.0,24.0,9.0,12.0,28.0,26.0,62.0,756.0,191.0,0.0,32.0,0.245960503,PC_RECRENTERS,305.16,11364.0,4424.0,5710.0,2674.0,2140.0,19.0,281.0,523.0,575.0,255.0,408.0,154.0,229.0,267.0,192.0,209.0,2865.0,14.0,47.0,41.0,276.0,16.0,5.0,7.0,24.0,9.0,66.0,1054.0,214.0,0.0,9.0,0.28115016,PC_OLD,337.0
101021010,Queanbeyan - East,nsw,4771.0,1679.0,2371.0,1112.0,848.0,6.0,142.0,241.0,115.0,227.0,81.0,46.0,91.0,141.0,41.0,74.0,1209.0,10.0,12.0,40.0,56.0,12.0,0.0,3.0,11.0,0.0,22.0,304.0,80.0,0.0,0.0,0.141747573,PC_UNEMP,287.47,4868.0,1874.0,2458.0,1058.0,923.0,0.0,160.0,298.0,156.0,241.0,69.0,93.0,104.0,113.0,80.0,108.0,1259.0,12.0,24.0,39.0,102.0,11.0,0.0,3.0,19.0,6.0,17.0,382.0,67.0,0.0,0.0,0.228007181,PC_RECRENTERS,290.41,5113.0,1998.0,2589.0,1237.0,1004.0,0.0,106.0,213.0,255.0,90.0,196.0,60.0,117.0,114.0,87.0,97.0,1403.0,14.0,25.0,33.0,101.0,0.0,0.0,6.0,9.0,8.0,15.0,384.0,91.0,0.0,0.0,0.268370607,PC_OLD,312.0
