sa2_code,sa2_name,state,total_persons_2011,total_renters_2011,total_dwellings_2011,own_occ_2011,rented_2011,other_tenure_2011,tenure not stated_2011,tenure n_a_2011,rent_stress_2011,young_2011,older_2011,unemployed_2011,single_parent_2011,low_ed_2011,assist_2011,indig_2011,english_2011,spanish_2011,arabic_2011,hindi_2011,punjabi_2011,vietnamese_2011,japanese_2011,korean_2011,mandarin_2011,samoan_2011,tagalog_2011,all_other_lang_2011,public_community_2011,boardinghouse_2011,residential_park_2011,rvi_2011,total_persons_2016,total_renters_2016,total_dwellings_2016,own_occ_2016,rented_2016,other_tenure_2016,tenure not stated_2016,tenure n_a_2016,rent_stress_2016,young_2016,older_2016,unemployed_2016,single_parent_2016,low_ed_2016,assist_2016,indig_2016,english_2016,spanish_2016,arabic_2016,hindi_2016,punjabi_2016,vietnamese_2016,japanese_2016,korean_2016,mandarin_2016,samoan_2016,tagalog_2016,all_other_lang_2016,public_community_2016,boardinghouse_2016,residential_park_2016,rvi_2016,total_persons_2021,total_renters_2021,total_dwellings_2021,own_occ_2021,rented_2021,other_tenure_2021,tenure not stated_2021,tenure n_a_2021,rent_stress_2021,young_2021,older_2021,unemployed_2021,single_parent_2021,low_ed_2021,assist_2021,indig_2021,english_2021,spanish_2021,arabic_2021,hindi_2021,punjabi_2021,vietnamese_2021,japanese_2021,korean_2021,mandarin_2021,samoan_2021,tagalog_2021,all_other_lang_2021,public_community_2021,boardinghouse_2021,residential_park_2021,rvi_2021,unaff_2017_common,unaff_2018_common,unaff_2019_common,unaff_2020_common,unaff_2021_common,2016_12_common,2017_12_common,2018_12_common,2019_12_common,2020_12_common,2021_12_common,16_m_rent_common,17_m_rent_common,18_m_rent_common,19_m_rent_common,20_m_rent_common,21_m_rent_common
101021007,Braidwood,nsw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,86715,542011,185809,536120,952595,268544,15853,63950,177176,4862,133816,8745,60399,7690,52771,6391,137995,483482,11187,625,6173,11263,1506,650,9592,19696,3471,5672,96990,35916,6789,8816,70997,24928,38616,8925,9654,9676,54572,315708,62762,388035,184140,454188,94734,18913,78497,9112,26097,26495,3902,301,3066,1456,52,2086,3310,386,244,12454,2723,146,1211,0.568780735,90,77,2,35,83,8049,3717,6589,6448,1759,16366,458,905,326,1166,231,746
101021008,Karabar,nsw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16450,7392,3288814,664495,301107,199356,255408,35964,65144,100494,2939,94427,115161,35622,53149,26851,78598,100769,350647,2010,5353,2998,13837,1329,6226,7761,15983,1151,11425,148501,45883,7378,21739,88665,9418,327,11324,5144,6468,164281,81281,241509,344033,632755,488434,37379,98447,31381,100565,51090,62637,225,275,3906,5790,281,1624,1356,88,770,10850,1438,153,510,1.771069865,71,93,65,94,92,658,5880,12349,2906,11874,11871,876,875,317,1175,15,21
101021009,Queanbeyan,nsw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12606,76974,5113375,1151139,653425,503424,184431,21686,97353,175146,4901,106262,63952,59243,61288,22888,15064,53340,74018,11218,1817,2050,13277,7209,3887,4226,11388,5266,2996,155188,32957,3392,6698,57069,9698,16460,2655,15767,1725,111253,476589,502644,347071,427912,183638,71461,57104,6563,51275,87585,38358,9158,119,3117,3923,26,310,480,841,231,4073,1720,270,1353,1.607767947,36,100,20,29,28,12888,13118,5379,1194,11499,2191,700,570,543,1243,332,680
101021010,Queanbeyan - East,nsw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6103,59370,2349093,178327,787495,849057,499249,3974,92297,69099,3682,164106,89600,4194,15333,80804,37965,140879,15905,9533,5670,6339,3427,107,2046,8084,7242,1329,7852,40885,29032,5138,7286,109843,32830,16167,4860,5496,1599,304494,254435,543669,28452,295758,188435,59624,9179,92002,67815,40669,19038,9308,705,1469,2717,422,1519,2682,1007,907,4005,99,82,1021,1.391686766,43,63,7,93,31,5332,7168,5231,2485,8744,14771,934,923,1326,568,817,475
101021012,Queanbeyan West - Jerrabomberra,nsw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15835,82546,1210625,902457,91767,703347,44270,8384,8403,91160,3699,125435,75072,32096,22951,76383,24098,91286,140800,11335,848,4283,3202,1865,1833,9451,3604,10834,6952,171719,4550,1500,12041,93380,21074,30007,13349,14494,8332,254387,164845,440140,431282,273310,143572,26413,28658,73928,10059,91342,74479,8320,556,3390,5743,571,1748,1150,1391,662,136,3170,157,825,0.883679591,30,96,58,0,66,7190,13247,8316,5565,10909,10630,666,1051,248,1312,408,1036
101021610,Googong,nsw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13359,16518,1772861,1027733,929364,821562,332529,36145,18404,37040,2161,6297,114669,49778,51256,65027,7947,100616,1021625,7714,4945,6215,2437,3798,1374,4525,17144,2884,10203,162525,19933,6553,18310,77666,17356,7109,9627,15446,5678,152564,424297,468565,24288,2311,533343,103992,2289,65016,51443,95688,9052,1001,2270,80,5947,576,1375,2541,1153,66,11693,1795,72,1717,0.58243666,43,35,76,42,98,8478,12421,12546,4556,14614,15044,326,503,1470,1073,404,914
101021611,Queanbeyan Surrounds,nsw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11173,36705,151601,377732,362686,555446,238625,16679,28232,177285,6306,44368,105000,16679,102398,33341,32840,12356,794092,9022,6548,4619,862,1445,3234,3688,635,10404,7418,22548,33185,5318,16779,69559,19252,48365,9095,14122,386,419457,92183,491454,457550,307832,146586,43760,49240,15666,21032,34808,64675,3163,1285,2000,3890,138,229,2449,480,838,11791,744,372,96,0.552942596,16,46,19,89,23,3973,4384,9896,10723,8388,9555,552,47,1330,435,734,589
101031013,Bombala,nsw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7087,90122,2335270,1484004,475934,840957,551126,32178,101379,64830,5935,153511,103234,60615,9095,17785,59220,142338,123220,4285,2345,3077,4353,301,629,3983,13438,4775,4460,28502,49979,3700,5374,67814,33702,12461,13001,13703,9743,31827,127206,41137,299220,395519,196051,37606,66828,14218,104086,78321,18320,3163,916,3120,5626,528,1575,995,1056,302,7491,1986,20,991,1.077491625,100,82,55,72,58,11852,12404,15159,13053,13734,11963,72,63,1412,232,612,33
101031014,Cooma,nsw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8929,26062,4600932,522374,1438500,1196158,587670,4032,64005,185892,2699,33336,98836,64305,67704,52383,54587,6980,898930,10705,886,3761,9364,3807,4866,2039,17045,3956,5552,68466,51287,7111,17170,64036,11708,32743,12846,8742,8820,504691,144020,55954,368157,474484,118166,7755,72818,21419,51600,103780,32382,5,2722,389,7164,239,1034,1727,511,234,1533,1831,202,362,1.27299944,18,19,67,15,67,4028,896,6802,12779,11736,5867,258,102,964,179,530,589
101031015,Cooma Surrounds,nsw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3941,32842,5120357,667476,92515,587706,38358,19060,66247,85257,1637,46196,3049,58738,68474,29580,31892,101470,614847,123,1197,4525,5478,4236,3798,2470,20162,4097,1916,151562,39762,7015,8689,47225,6682,14587,235,2775,1074,443355,263915,571163,456000,116317,67969,56806,2056,55677,62311,23426,72051,4178,411,1762,1845,485,928,2860,575,983,839,2485,27,159,0.629885668,22,22,35,19,43,1620,9555,3247,2341,6114,6977,357,344,1186,107,599,257
