postcode,suburbs,state,total_persons_2016,total_renters_2016,total_persons_2021,total_renters_2021,total_dwellings_2016,own_occ_2016,rented_2016,other_tenure_2016,tenure not stated_2016,tenure n_a_2016,total_dwellings_2021,own_occ_2021,rented_2021,other_tenure_2021,tenure not stated_2021,tenure n_a_2021,rent_stress_2016,rent_stress_2021,unaff_2017_common,unaff_2018_common,unaff_2019_common,unaff_2020_common,unaff_2021_common,young_2016,older_2016,unemployed_2016,single_parent_2016,low_ed_2016,assist_2016,indig_2016,english_2016,spanish_2016,arabic_2016,hindi_2016,punjabi_2016,vietnamese_2016,japanese_2016,korean_2016,mandarin_2016,samoan_2016,tagalog_2016,all_other_lang_2016,young_2021,older_2021,unemployed_2021,single_parent_2021,low_ed_2021,assist_2021,indig_2021,english_2021,spanish_2021,arabic_2021,hindi_2021,punjabi_2021,vietnamese_2021,japanese_2021,korean_2021,mandarin_2021,samoan_2021,tagalog_2021,all_other_lang_2021,2016_12_common,2017_12_common,2018_12_common,2019_12_common,2020_12_common,2021_12_common,16_m_rent_common,17_m_rent_common,18_m_rent_common,19_m_rent_common,20_m_rent_common,21_m_rent_common,public_community_2016,public_community_2021,boardinghouse_2016,boardinghouse_2021,residential_park_2016,residential_park_2021,rvi_2016,rvi_2021
4000,"Brisbane, Brisbane Adelaide Street, Brisbane GPO, Spring Hill",qld,26642,9342,24891,11323,8674,2228,4069,162,934,1286,12132,2791,6032,129,691,2482,2710,2048,10.70110701,8.641975309,10.25841817,6.58436214,7.900318134,2627,180,609,132,641,88,64,3779,618,171,149,16,45,261,726,817,0,77,1800,2406,263,564,234,135,11323,159,5724,790,111,245,27,114,156,430,964,12,181,11323,4573,6727,7543,8243,8613,8684,420,420,415,410,395,385,103,98,258,224,0,0,0.036,0.093596059
4005,New Farm,qld,17626,7954,17502,8182,9924,3162,4393,104,1164,1097,10116,3789,4533,76,527,1192,1528,1159,7.355516637,5.537974684,10.76642336,11.13013699,10.71932299,1109,393,302,156,713,156,96,6408,152,10,39,17,20,50,20,113,0,26,939,878,491,253,188,130,8182,105,6695,177,32,21,6,22,53,30,73,3,31,8182,2681,5524,5532,5503,5424,5368,450,445,440,460,470,450,304,285,320,306,0,0,0.062,0.086206897
4006,"Bowen Hills, Fortitude Valley, Fortitude Valley BC, Herston, Newstead",qld,16379,8588,25789,16236,8815,1569,4640,93,1142,1378,15768,2791,9697,183,1032,2066,2685,2871,4.351032448,7.118175536,5.394990366,4.345047923,6.413682523,2006,233,484,129,790,171,142,5595,332,85,154,18,62,87,199,297,13,34,1354,3058,339,615,329,183,16236,328,11537,846,120,195,43,129,148,225,397,7,110,16236,4317,8331,9913,10628,11257,11510,420,405,420,425,415,420,182,173,250,168,0,0,0.048,0.07635468
4007,"Ascot, Hamilton, Hamilton Central",qld,13247,4727,15537,6141,6881,2636,2505,78,591,1076,8322,3336,3373,107,375,1119,1231,978,7.619047619,10.22044088,10.83844581,11.88340807,13.00191205,689,272,228,168,645,107,76,3683,91,25,60,70,12,49,39,87,7,26,469,708,489,208,222,110,6141,123,4866,140,45,50,23,29,45,43,108,15,30,6141,1751,3350,3546,3723,3881,3841,420,405,435,450,447.5,450,124,124,54,70,0,0,0.099,0.18226601
4008,Pinkenba,qld,362,83,1084,88,133,64,33,11,14,12,155,80,39,8,13,15,8,8,0,0,0,0,0,7,8,5,3,28,3,4,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,88,3,72,0,0,0,0,0,0,0,0,0,0,88,8,28,26,27,26,25,400,0,0,0,0,0,1,1,0,0,0,0,0.384,0.049261084
4010,"Albion, Albion BC, Albion DC",qld,2350,1121,3414,1900,1302,388,570,38,108,208,2064,564,1041,73,100,283,245,255,8.275862069,0,6.25,3.731343284,5.85106383,208,60,54,28,123,28,27,868,13,8,9,12,13,18,7,17,7,4,130,320,114,72,73,28,1900,31,1513,46,8,18,3,4,16,12,19,12,18,1900,480,1040,1096,1112,1206,1188,400,410,400,407.5,397.5,410,51,47,0,0,0,0,0.082,0.125615764
4011,"Clayfield, Hendra",qld,15157,5052,15617,5093,7058,3445,2339,82,410,788,7243,3915,2473,98,190,571,1253,733,12.68115942,13.40996169,15.80645161,12.01550388,13.24041812,756,280,227,199,655,90,99,3679,61,22,95,153,14,39,76,50,8,24,665,659,351,194,239,131,5093,145,3701,94,31,69,52,10,40,25,60,5,53,5093,1117,2814,2843,2893,2849,2781,360,350,370,370,379,370,77,81,211,210,0,0,0.096,0.229064039
4012,"Nundah, Toombul, Wavell Heights, Wavell Heights North",qld,21531,8649,23182,9095,10239,4663,4033,85,555,910,11093,5357,4484,112,354,788,2127,1189,3.386004515,4.103671706,4.910714286,4.772727273,6.25,1424,456,432,381,1346,280,239,6236,110,26,205,249,18,51,84,80,43,103,1230,1168,562,320,435,268,9095,281,6872,155,43,138,162,20,47,45,51,30,103,9095,1919,4562,4647,4662,4696,4565,390,385,385,395,400,400,421,433,33,35,0,0,0.191,0.221674877
4013,Northgate,qld,4579,1734,4867,1796,2109,951,801,28,146,192,2192,1086,837,19,88,158,407,224,5.633802817,9.090909091,6.097560976,2.564102564,11.76470588,283,84,109,86,346,61,84,1306,22,3,28,62,0,11,6,8,10,18,184,248,105,80,106,74,1796,94,1250,26,7,14,41,4,9,16,5,9,15,1796,335,826,835,837,836,791,380,380,360,350,390,400,138,134,0,0,0,0,0.268,0.320197044
4014,"Banyo, Nudgee, Nudgee Beach, Virginia, Virginia BC, Virginia DC",qld,11738,3004,13004,3494,4582,2928,1084,50,265,263,5047,3310,1321,60,129,220,764,345,2.040816327,2.4,0,1.886792453,2.542372881,507,137,156,183,601,113,99,2449,23,3,24,76,7,11,8,17,25,72,199,385,150,123,212,143,3494,175,2932,29,8,31,20,9,20,12,19,20,22,3494,461,1246,1288,1341,1374,1351,420,460,450,460,470,480,65,62,0,0,0,0,0.312,0.298029557
