POSTCODE,PC_DISABILITY,PC_UNEMP,PC_LONEPARENT,PC_INDG,PC_YOUNG,PC_OLD,PC_LOWEDU,PC_RENTSTRESS,PC_RENTERS,T_DISABILITY,T_UNEMP,T_LONEPARENT,T_INDG,T_YOUNG,T_OLD,T_LOWEDU,T_RENTSTRESS,T_RENTERS,IMP_INCOME,INC_30PC,T_COMMPH,T_BH_RES,T_BH,T_MH,T_UNAFFORDABLETENANCIES,PC_UNAFFORDABLETENANCIES,PC21,RVI21,RVI16
2406,4.52,2.22,6.86,37.14,16.76,2.79,13.41,15.29,24.59,8,4,12,65,30,5,24,13,181,2052,616,0,0,0,0,0,0,-0.91,0.27,
4000,1.55,4.98,2.07,1.4,21.28,2.33,1.19,33.91,45.49,176,564,234,159,2406,263,135,2048,11323,2108,633,201,224,7,0,149,7.9,-1.8,0.09,0.036
4005,2.59,3.09,2.3,1.28,10.76,6.01,1.59,25.57,46.75,212,253,188,105,878,491,130,1159,8182,2595,779,403,306,15,0,76,10.72,-1.95,0.09,0.062
4006,2.01,3.79,2.03,2.02,18.82,2.09,1.13,29.61,62.97,327,615,329,328,3058,339,183,2871,16236,2101,630,721,168,7,0,120,6.41,-2.11,0.08,0.048
4007,3.26,3.38,3.62,2.01,11.56,7.99,1.79,28.94,39.52,200,208,222,123,708,489,110,978,6141,2231,669,153,70,2,0,68,13,-1.31,0.18,0.099
4008,5.88,0,0,3.66,0,0,3.57,23.53,8.12,5,0,0,3,0,0,3,8,88,2341,702,0,0,0,0,0,0,-2.68,0.05,0.384
4010,2.69,3.79,3.84,1.63,16.81,5.99,1.47,24.54,55.72,51,72,73,31,320,114,28,255,1900,2221,666,67,0,0,0,11,5.85,-1.61,0.13,0.082
4011,3,3.81,4.69,2.84,13.03,6.94,2.57,29.57,32.62,153,194,239,145,659,351,131,733,5093,2103,631,98,210,6,0,38,13.24,-1.1,0.23,0.096
4012,3.84,3.52,4.79,3.09,12.84,6.18,2.95,26.5,39.23,349,320,435,281,1168,562,268,1189,9095,2108,632,557,35,3,0,28,6.25,-1.14,0.22,0.191
4013,4.5,4.44,5.88,5.21,13.88,5.88,4.09,26.48,36.88,81,80,106,94,248,105,74,224,1796,1992,598,193,0,0,0,8,11.76,-0.65,0.32,0.268
4014,5.26,3.52,6.06,5.02,11.09,4.32,4.1,26.14,26.89,184,123,212,175,385,150,143,345,3494,2398,719,125,0,0,0,3,2.54,-0.77,0.3,0.312
4017,7.07,3.93,8.27,5.96,9.41,9.52,6.14,32.2,22.85,603,335,705,509,804,813,524,1099,8528,1899,570,456,140,4,14,31,11.74,0.64,0.67,0.515
4018,6.15,3.97,8.06,4.34,10.01,7.68,4.16,30.6,36.03,310,200,407,219,506,388,209,593,5045,1930,579,217,0,0,258,2,1.24,0.16,0.53,0.38
4019,9.99,5.06,10.13,7.36,7.9,16.3,8.92,41.01,34,689,349,698,507,545,1125,614,1378,6888,1439,432,719,48,2,0,74,30.58,2.56,0.96,0.859
